signal,threshold,tune_r1_stops,tune_prec_em,tune_prec_f1,eval_f1,eval_em,eval_calls,eval_r1_stops,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,verdict
calibrated_logit_margin,0.3846,56,55.35714285714286,68.2312925170068,52.34269156769157,40.666666666666664,1.71,190,-4.420634920634921,-7.129861111111111,-1.62936507936508,-0.8033333333333333,LOSS
calibrated_logit_margin,0.45,42,59.523809523809526,71.83673469387755,54.59824712324712,43.0,1.9133333333333333,145,-2.165079365079365,-4.270119047619048,-0.14851190476190532,-0.6,LOSS
calibrated_logit_margin,0.5,20,70.0,81.75000000000001,56.25538998038998,44.333333333333336,2.316666666666667,52,-0.5079365079365079,-1.365079365079365,0.0,-0.19666666666666666,tie
calibrated_logit_margin,0.55,20,70.0,81.75000000000001,56.25538998038998,44.333333333333336,2.316666666666667,52,-0.5079365079365079,-1.365079365079365,0.0,-0.19666666666666666,tie
calibrated_logit_margin,0.6,20,70.0,81.75000000000001,56.25538998038998,44.333333333333336,2.32,51,-0.5079365079365079,-1.365079365079365,0.0,-0.19333333333333333,tie
calibrated_logit_margin,0.6471,20,70.0,81.75000000000001,56.25538998038998,44.333333333333336,2.3233333333333333,50,-0.5079365079365079,-1.365079365079365,0.0,-0.19,tie
calibrated_logit_margin,0.7,1,100.0,100.0,56.76332648832649,44.333333333333336,2.513333333333333,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.7333,1,100.0,100.0,56.76332648832649,44.333333333333336,2.513333333333333,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.8,1,100.0,100.0,56.76332648832649,44.333333333333336,2.513333333333333,0,0.0,0.0,0.0,0.0,tie
calibrated_conf,-0.01,100,38.0,48.972922502334264,45.372422947422955,35.66666666666667,1.0,300,-11.390903540903542,-15.264565018315018,-7.468194444444444,-1.5133333333333334,LOSS
calibrated_conf,0.44,0,,,56.76332648832649,44.333333333333336,2.513333333333333,0,0.0,0.0,0.0,0.0,tie
top_score_z_intra,2.0,65,38.46153846153847,51.233067586008765,49.395316720316714,38.666666666666664,1.49,210,-7.368009768009768,-10.535431929181929,-4.158289072039073,-1.0233333333333334,LOSS
top_score_z_intra,2.5,32,28.125,45.317168534080295,54.01595164095164,41.66666666666667,1.94,119,-2.747374847374847,-4.912222222222222,-0.7634859584859586,-0.5733333333333334,LOSS
top_score_z_intra,2.8,16,31.25,49.97957516339869,56.35221537721537,43.666666666666664,2.2866666666666666,48,-0.41111111111111115,-1.6677777777777778,0.6449999999999994,-0.22666666666666666,tie
top_score_z_intra,3.0,0,,,56.76332648832649,44.333333333333336,2.513333333333333,0,0.0,0.0,0.0,0.0,tie
gap,2.0,43,34.883720930232556,49.538357978850456,52.908808783808794,40.666666666666664,1.8033333333333332,149,-3.854517704517704,-6.419398656898657,-1.6022298534798542,-0.71,LOSS
gap,4.0,25,32.0,50.386928104575155,55.14928497428496,42.66666666666667,2.1533333333333333,74,-1.6140415140415139,-3.213876678876679,-0.1886111111111114,-0.36,LOSS
gap,6.0,16,25.0,48.7295751633987,56.35221537721537,43.666666666666664,2.316666666666667,41,-0.41111111111111115,-1.689444444444444,0.6119444444444436,-0.19666666666666666,tie
gap,10.0,6,0.0,11.11111111111111,56.46332648832648,44.0,2.46,12,-0.3,-1.1675,0.33333333333333337,-0.05333333333333334,tie
top_bm25_score,10.0,37,37.83783783783784,53.77495142201024,50.27944370444371,39.0,1.89,124,-6.483882783882784,-9.328313492063494,-3.9248748473748476,-0.6233333333333333,LOSS
top_bm25_score,15.0,14,28.57142857142857,39.04761904761905,55.379199504199505,43.333333333333336,2.3566666666666665,31,-1.384126984126984,-2.8637301587301587,-0.2215476190476196,-0.15666666666666668,LOSS
top_bm25_score,18.0,7,28.57142857142857,40.0,56.36332648832648,44.0,2.43,17,-0.4,-1.3,0.3,-0.08333333333333333,tie
top_bm25_score,25.0,1,100.0,100.0,56.59665982165982,44.0,2.4833333333333334,6,-0.16666666666666669,-1.0,0.5,-0.03,tie
gap_1_2,2.0,43,34.883720930232556,49.538357978850456,52.908808783808794,40.666666666666664,1.8033333333333332,149,-3.854517704517704,-6.419398656898657,-1.6022298534798542,-0.71,LOSS
gap_1_2,4.0,25,32.0,50.386928104575155,55.14928497428496,42.66666666666667,2.1533333333333333,74,-1.6140415140415139,-3.213876678876679,-0.1886111111111114,-0.36,LOSS
gap_1_2,6.0,16,25.0,48.7295751633987,56.35221537721537,43.666666666666664,2.316666666666667,41,-0.41111111111111115,-1.689444444444444,0.6119444444444436,-0.19666666666666666,tie
gap_1_2,10.0,6,0.0,11.11111111111111,56.46332648832648,44.0,2.46,12,-0.3,-1.1675,0.33333333333333337,-0.05333333333333334,tie
