size,n_groups,max_group_size,formula,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
4,1,4,as&cnf&mrg&ovl,1,1,69.07248960190137,3.9,62.53951696451696,50.0,3.97,144,5.776190476190476,2.988452380952381,8.731785714285714,1.4566666666666668,3.266666666666666,0.8495238095238098,5.944801587301588,3.8855921855921856,1.2979761904761902,6.57717338217338
5,1,5,as&cnf&gap&mrg&ovl,1,1,69.07248960190137,4.42,62.329993154993154,49.333333333333336,4.333333333333333,92,5.566666666666666,2.58984126984127,8.611428571428572,1.82,3.0571428571428574,0.5780952380952379,5.6494841269841265,3.6760683760683763,0.9952350427350426,6.394514652014652
5,1,5,as&cnf&mrg&ovl&tzi,1,1,69.07248960190137,4.52,62.329993154993154,49.333333333333336,4.426666666666667,80,5.566666666666666,2.58984126984127,8.611428571428572,1.9133333333333333,3.0571428571428574,0.5780952380952379,5.6494841269841265,3.6760683760683763,0.9952350427350426,6.394514652014652
6,1,6,as&cnf&gap&mrg&ovl&tzi,1,1,69.07248960190137,4.55,62.329993154993154,49.333333333333336,4.43,79,5.566666666666666,2.58984126984127,8.611428571428572,1.9166666666666667,3.0571428571428574,0.5780952380952379,5.6494841269841265,3.6760683760683763,0.9952350427350426,6.394514652014652
4,1,4,cnf&gap&mrg&ovl,1,0,69.07248960190137,4.29,62.22742905242904,49.333333333333336,4.226666666666667,99,5.464102564102564,2.486959706959707,8.562896825396825,1.7133333333333334,2.9545787545787547,0.4216269841269842,5.544761904761905,3.573504273504273,0.961263736263736,6.310045787545787
4,1,4,cnf&mrg&ovl&tzi,1,0,69.07248960190137,4.38,62.22742905242904,49.333333333333336,4.336666666666667,86,5.464102564102564,2.486959706959707,8.562896825396825,1.8233333333333333,2.9545787545787547,0.4216269841269842,5.544761904761905,3.573504273504273,0.961263736263736,6.310045787545787
5,1,5,cnf&gap&mrg&ovl&tzi,1,0,69.07248960190137,4.42,62.22742905242904,49.333333333333336,4.34,85,5.464102564102564,2.486959706959707,8.562896825396825,1.8266666666666667,2.9545787545787547,0.4216269841269842,5.544761904761905,3.573504273504273,0.961263736263736,6.310045787545787
3,1,3,cnf&mrg&ovl,1,0,69.07248960190137,3.63,62.17028619528618,50.0,3.756666666666667,158,5.406959706959706,2.6444047619047617,8.285912698412698,1.2433333333333334,2.897435897435897,0.22777777777777788,5.681111111111112,3.516361416361416,0.9040903540903539,6.161068376068373
3,1,3,as&cnf&mrg,1,1,68.07248960190137,3.48,62.13475505975505,49.666666666666664,3.53,185,5.371428571428572,2.8101190476190476,8.004325396825394,1.0166666666666666,2.8619047619047615,0.311825396825397,5.365873015873015,3.4808302808302805,1.070833333333333,5.914239926739926
4,1,4,as&gap&mrg&ovl,1,1,69.07248960190137,4.41,62.10777093277093,49.333333333333336,4.24,104,5.344444444444445,2.3961111111111113,8.444246031746031,1.7266666666666666,2.8349206349206355,0.3789682539682541,5.416150793650793,3.453846153846154,0.8539652014652017,6.17285714285714
4,1,4,as&mrg&ovl&tzi,1,1,69.07248960190137,4.51,62.10777093277093,49.333333333333336,4.336666666666667,92,5.344444444444445,2.3961111111111113,8.444246031746031,1.8233333333333333,2.8349206349206355,0.3789682539682541,5.416150793650793,3.453846153846154,0.8539652014652017,6.17285714285714
5,1,5,as&gap&mrg&ovl&tzi,1,1,69.07248960190137,4.54,62.10777093277093,49.333333333333336,4.343333333333334,90,5.344444444444445,2.3961111111111113,8.444246031746031,1.83,2.8349206349206355,0.3789682539682541,5.416150793650793,3.453846153846154,0.8539652014652017,6.17285714285714
4,1,4,as&cnf&gap&mrg,1,1,68.07248960190137,4.16,62.091897916897906,49.0,3.9966666666666666,126,5.328571428571428,2.4299603174603175,8.322738095238094,1.4833333333333334,2.819047619047619,0.39079365079365097,5.273055555555556,3.437973137973138,0.8719841269841272,6.095515873015871
4,1,4,as&cnf&mrg&tzi,1,1,68.07248960190137,4.31,62.091897916897906,49.0,4.13,109,5.328571428571428,2.4299603174603175,8.322738095238094,1.6166666666666667,2.819047619047619,0.39079365079365097,5.273055555555556,3.437973137973138,0.8719841269841272,6.095515873015871
5,1,5,as&cnf&gap&mrg&tzi,1,1,68.07248960190137,4.36,62.091897916897906,49.0,4.136666666666667,108,5.328571428571428,2.4299603174603175,8.322738095238094,1.6233333333333333,2.819047619047619,0.39079365079365097,5.273055555555556,3.437973137973138,0.8719841269841272,6.095515873015871
3,1,3,as&mrg&ovl,1,1,69.07248960190137,3.85,62.0791995041995,49.666666666666664,3.84,161,5.3158730158730165,2.5989682539682537,8.322619047619048,1.3266666666666667,2.8063492063492066,0.39976190476190465,5.31845238095238,3.4252747252747255,0.9647985347985351,6.002090964590964
3,1,3,gap&mrg&ovl,1,0,69.07248960190137,4.28,62.00520683020683,49.333333333333336,4.086666666666667,115,5.241880341880342,2.306190476190477,8.316483516483515,1.5733333333333333,2.732356532356533,0.3058241758241761,5.291126373626372,3.3512820512820514,0.7730128205128205,6.0874969474969465
3,1,3,mrg&ovl&tzi,1,0,69.07248960190137,4.37,62.00520683020683,49.333333333333336,4.196666666666666,102,5.241880341880342,2.306190476190477,8.316483516483515,1.6833333333333333,2.732356532356533,0.3058241758241761,5.291126373626372,3.3512820512820514,0.7730128205128205,6.0874969474969465
4,1,4,gap&mrg&ovl&tzi,1,0,69.07248960190137,4.41,62.00520683020683,49.333333333333336,4.206666666666667,100,5.241880341880342,2.306190476190477,8.316483516483515,1.6933333333333334,2.732356532356533,0.3058241758241761,5.291126373626372,3.3512820512820514,0.7730128205128205,6.0874969474969465
2,1,2,mrg&ovl,1,0,69.07248960190137,3.58,61.70996873496873,49.666666666666664,3.57,180,4.946642246642246,2.1824755799755797,7.8722619047619045,1.0566666666666666,2.4371184371184373,-0.16657203907203905,4.962023809523809,3.0560439560439563,0.6653571428571429,5.693806471306471
3,1,3,as&gap&mrg,1,1,68.07248960190137,4.1,61.3696756946757,48.333333333333336,3.8533333333333335,143,4.606349206349206,1.9232539682539689,7.634166666666665,1.34,2.096825396825397,-0.2943650793650793,4.607539682539681,2.7157509157509154,0.3249969474969474,5.444639804639804
3,1,3,as&mrg&tzi,1,1,68.07248960190137,4.25,61.3696756946757,48.333333333333336,3.99,126,4.606349206349206,1.9232539682539689,7.634166666666665,1.4766666666666666,2.096825396825397,-0.2943650793650793,4.607539682539681,2.7157509157509154,0.3249969474969474,5.444639804639804
4,1,4,as&gap&mrg&tzi,1,1,68.07248960190137,4.3,61.3696756946757,48.333333333333336,4.0,124,4.606349206349206,1.9232539682539689,7.634166666666665,1.4866666666666666,2.096825396825397,-0.2943650793650793,4.607539682539681,2.7157509157509154,0.3249969474969474,5.444639804639804
2,1,2,as&mrg,1,1,68.07248960190137,3.39,61.174437599437596,48.66666666666667,3.3433333333333333,211,4.411111111111111,2.0666666666666664,7.168055555555555,0.83,1.9015873015873017,-0.6057936507936507,4.423928571428572,2.5205128205128204,0.24435897435897438,4.878922466422465
3,1,3,cnf&gap&mrg,1,0,67.07248960190137,4.05,60.894095719095716,48.0,3.83,135,4.130769230769231,1.4015781440781443,7.069911477411477,1.3166666666666667,1.6212454212454215,-0.8165567765567766,4.30547619047619,2.24017094017094,-0.2451892551892552,4.981202686202686
