signal,threshold,tune_r1_stops,tune_prec_em,tune_prec_f1,eval_f1,eval_em,eval_calls,eval_r1_stops,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,verdict
calibrated_logit_margin,0.3846,2,50.0,50.0,45.393447293447295,39.0,2.5,16,-1.0518518518518518,-2.2374074074074075,-0.1851851851851852,-0.06666666666666667,LOSS
calibrated_logit_margin,0.45,2,50.0,50.0,45.393447293447295,39.0,2.5,16,-1.0518518518518518,-2.2374074074074075,-0.1851851851851852,-0.06666666666666667,LOSS
calibrated_logit_margin,0.5,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.55,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.6,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.6471,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.7,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.7333,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.8,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
calibrated_conf,-0.01,25,36.0,38.4,37.52521737521737,32.0,1.0,300,-8.92008177008177,-13.743805916305915,-4.511381673881674,-1.5666666666666667,LOSS
calibrated_conf,0.44,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
top_score_z_intra,2.0,19,36.84210526315789,40.0,37.19982054982056,31.666666666666664,1.48,205,-9.245478595478595,-13.163319504569508,-5.694384920634921,-1.0866666666666667,LOSS
top_score_z_intra,2.5,10,20.0,26.0,42.04000814000813,36.333333333333336,2.0166666666666666,96,-4.405291005291005,-7.44357142857143,-1.8790476190476197,-0.55,LOSS
top_score_z_intra,2.8,5,20.0,32.0,45.51196581196581,39.666666666666664,2.3966666666666665,27,-0.9333333333333332,-2.6,0.7333333333333334,-0.17,tie
top_score_z_intra,3.0,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
gap,2.0,11,36.36363636363637,41.81818181818181,39.78315388315389,34.333333333333336,1.8633333333333333,128,-6.662145262145263,-10.057777777777778,-3.4843217893217893,-0.7033333333333334,LOSS
gap,4.0,7,14.285714285714285,22.857142857142858,43.77122507122507,38.0,2.29,46,-2.674074074074074,-5.088888888888889,-0.5550000000000005,-0.27666666666666667,LOSS
gap,6.0,2,0.0,30.0,44.99344729344729,39.0,2.4566666666666666,17,-1.4518518518518517,-3.5185185185185186,0.2972222222222214,-0.11,tie
gap,10.0,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
top_bm25_score,10.0,2,0.0,30.0,44.43789173789173,38.666666666666664,2.3133333333333335,47,-2.0074074074074075,-4.451851851851851,0.11185185185185122,-0.25333333333333335,tie
top_bm25_score,15.0,0,,,46.77863247863248,40.666666666666664,2.55,2,0.33333333333333337,0.0,1.0,-0.016666666666666666,tie
top_bm25_score,18.0,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
top_bm25_score,25.0,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
gap_1_2,2.0,11,36.36363636363637,41.81818181818181,39.78315388315389,34.333333333333336,1.8633333333333333,128,-6.662145262145263,-10.057777777777778,-3.4843217893217893,-0.7033333333333334,LOSS
gap_1_2,4.0,7,14.285714285714285,22.857142857142858,43.77122507122507,38.0,2.29,46,-2.674074074074074,-5.088888888888889,-0.5550000000000005,-0.27666666666666667,LOSS
gap_1_2,6.0,2,0.0,30.0,44.99344729344729,39.0,2.4566666666666666,17,-1.4518518518518517,-3.5185185185185186,0.2972222222222214,-0.11,tie
gap_1_2,10.0,0,,,46.445299145299145,40.33333333333333,2.566666666666667,0,0.0,0.0,0.0,0.0,tie
