signal,threshold,tune_r1_stops,tune_prec_em,tune_prec_f1,eval_f1,eval_em,eval_calls,eval_r1_stops,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,verdict
calibrated_logit_margin,0.3846,33,69.6969696969697,79.3073593073593,52.62314814814816,43.0,2.0933333333333333,99,1.1136363636363635,-0.21226551226551224,2.586688311688311,-0.39666666666666667,tie
calibrated_logit_margin,0.45,33,69.6969696969697,79.3073593073593,52.62314814814816,43.0,2.0933333333333333,99,1.1136363636363635,-0.21226551226551224,2.586688311688311,-0.39666666666666667,tie
calibrated_logit_margin,0.5,33,69.6969696969697,79.3073593073593,52.62314814814816,43.0,2.0933333333333333,99,1.1136363636363635,-0.21226551226551224,2.586688311688311,-0.39666666666666667,tie
calibrated_logit_margin,0.55,33,69.6969696969697,79.3073593073593,52.62314814814816,43.0,2.0933333333333333,99,1.1136363636363635,-0.21226551226551224,2.586688311688311,-0.39666666666666667,tie
calibrated_logit_margin,0.6,33,69.6969696969697,79.3073593073593,52.62314814814816,43.0,2.0933333333333333,99,1.1136363636363635,-0.21226551226551224,2.586688311688311,-0.39666666666666667,tie
calibrated_logit_margin,0.6471,33,69.6969696969697,79.3073593073593,52.62314814814816,43.0,2.0933333333333333,99,1.1136363636363635,-0.21226551226551224,2.586688311688311,-0.39666666666666667,tie
calibrated_logit_margin,0.7,6,83.33333333333334,96.66666666666667,51.50951178451179,42.0,2.453333333333333,11,0.0,0.0,0.0,-0.03666666666666667,tie
calibrated_logit_margin,0.7333,6,83.33333333333334,96.66666666666667,51.50951178451179,42.0,2.453333333333333,11,0.0,0.0,0.0,-0.03666666666666667,tie
calibrated_logit_margin,0.8,1,100.0,100.0,51.50951178451179,42.0,2.4766666666666666,4,0.0,0.0,0.0,-0.013333333333333334,tie
calibrated_conf,-0.01,100,30.0,36.792857142857144,33.12555315055315,26.0,1.0,300,-18.383958633958635,-23.410845959595957,-13.628724747474752,-1.49,LOSS
calibrated_conf,0.44,0,,,51.50951178451179,42.0,2.49,0,0.0,0.0,0.0,0.0,tie
top_score_z_intra,2.0,65,36.92307692307693,44.989010989010985,39.69142616642616,32.0,1.48,210,-11.818085618085618,-15.845018037518038,-7.917730880230881,-1.01,LOSS
top_score_z_intra,2.5,32,21.875,31.071428571428573,46.59205146705146,37.333333333333336,1.9466666666666668,119,-4.917460317460317,-7.767976190476192,-2.244761904761906,-0.5433333333333333,LOSS
top_score_z_intra,2.8,16,25.0,28.125,50.58094035594035,41.0,2.283333333333333,48,-0.9285714285714286,-2.3178571428571426,0.25436507936507896,-0.20666666666666667,tie
top_score_z_intra,3.0,0,,,51.50951178451179,42.0,2.49,0,0.0,0.0,0.0,0.0,tie
gap,2.0,43,27.906976744186046,36.611295681063126,43.56824194324194,34.66666666666667,1.7733333333333334,149,-7.941269841269841,-11.620833333333334,-4.6265873015873025,-0.7166666666666667,LOSS
gap,4.0,25,28.000000000000004,37.48571428571429,48.90951178451178,39.33333333333333,2.17,74,-2.6,-4.666944444444445,-0.6555555555555557,-0.32,LOSS
gap,6.0,16,25.0,33.125,51.120622895622894,41.66666666666667,2.33,41,-0.3888888888888889,-1.2791666666666666,0.2222222222222222,-0.16,tie
gap,10.0,6,16.666666666666664,16.666666666666664,51.120622895622894,41.66666666666667,2.433333333333333,12,-0.3888888888888889,-1.2791666666666666,0.2222222222222222,-0.056666666666666664,tie
top_bm25_score,10.0,37,37.83783783783784,46.40926640926641,43.55527898027898,34.66666666666667,1.8933333333333333,124,-7.954232804232805,-11.295965608465611,-5.038492063492064,-0.5966666666666667,LOSS
top_bm25_score,15.0,14,35.714285714285715,45.0,50.187289562289564,41.0,2.3366666666666664,31,-1.3222222222222222,-2.9669444444444437,0.22249999999999973,-0.15333333333333332,tie
top_bm25_score,18.0,7,28.57142857142857,40.0,50.85395622895622,41.66666666666667,2.4133333333333336,17,-0.6555555555555556,-1.678333333333333,0.1111111111111111,-0.07666666666666666,tie
top_bm25_score,25.0,1,100.0,100.0,51.176178451178444,41.66666666666667,2.466666666666667,6,-0.33333333333333337,-1.0,0.0,-0.023333333333333334,tie
gap_1_2,2.0,43,27.906976744186046,36.611295681063126,43.56824194324194,34.66666666666667,1.7733333333333334,149,-7.941269841269841,-11.620833333333334,-4.6265873015873025,-0.7166666666666667,LOSS
gap_1_2,4.0,25,28.000000000000004,37.48571428571429,48.90951178451178,39.33333333333333,2.17,74,-2.6,-4.666944444444445,-0.6555555555555557,-0.32,LOSS
gap_1_2,6.0,16,25.0,33.125,51.120622895622894,41.66666666666667,2.33,41,-0.3888888888888889,-1.2791666666666666,0.2222222222222222,-0.16,tie
gap_1_2,10.0,6,16.666666666666664,16.666666666666664,51.120622895622894,41.66666666666667,2.433333333333333,12,-0.3888888888888889,-1.2791666666666666,0.2222222222222222,-0.056666666666666664,tie
