size,n_groups,max_group_size,formula,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
4,1,4,as&gap&mrg&ovl,1,1,69.00574229691877,4.33,62.16010702260702,51.66666666666667,4.3966666666666665,94,10.650595238095239,7.237212301587302,14.215605158730158,1.9066666666666667,2.7984126984126987,0.6888492063492063,5.076190476190476,8.878373015873017,5.777256944444444,12.239608134920637
5,1,5,as&cnf&gap&mrg&ovl,1,1,69.00574229691877,4.33,62.16010702260702,51.66666666666667,4.3966666666666665,94,10.650595238095239,7.237212301587302,14.215605158730158,1.9066666666666667,2.7984126984126987,0.6888492063492063,5.076190476190476,8.878373015873017,5.777256944444444,12.239608134920637
4,1,4,as&mrg&ovl&tzi,1,1,68.57717086834734,4.44,62.16010702260702,51.66666666666667,4.476666666666667,82,10.650595238095239,7.237212301587302,14.215605158730158,1.9866666666666666,2.7984126984126987,0.6888492063492063,5.076190476190476,8.878373015873017,5.777256944444444,12.239608134920637
5,1,5,as&cnf&mrg&ovl&tzi,1,1,68.57717086834734,4.44,62.16010702260702,51.66666666666667,4.476666666666667,82,10.650595238095239,7.237212301587302,14.215605158730158,1.9866666666666666,2.7984126984126987,0.6888492063492063,5.076190476190476,8.878373015873017,5.777256944444444,12.239608134920637
5,1,5,as&gap&mrg&ovl&tzi,1,1,68.57717086834734,4.44,62.16010702260702,51.66666666666667,4.483333333333333,80,10.650595238095239,7.237212301587302,14.215605158730158,1.9933333333333334,2.7984126984126987,0.6888492063492063,5.076190476190476,8.878373015873017,5.777256944444444,12.239608134920637
6,1,6,as&cnf&gap&mrg&ovl&tzi,1,1,68.57717086834734,4.44,62.16010702260702,51.66666666666667,4.483333333333333,80,10.650595238095239,7.237212301587302,14.215605158730158,1.9933333333333334,2.7984126984126987,0.6888492063492063,5.076190476190476,8.878373015873017,5.777256944444444,12.239608134920637
3,1,3,as&mrg&ovl,1,1,69.00574229691877,3.96,62.10455146705146,51.66666666666667,4.1066666666666665,141,10.595039682539682,7.182539682539682,14.154037698412699,1.6166666666666667,2.742857142857143,0.6332936507936507,4.9893253968253966,8.82281746031746,5.721701388888889,12.18405257936508
4,1,4,as&cnf&mrg&ovl,1,1,69.00574229691877,3.98,62.10455146705146,51.66666666666667,4.1066666666666665,141,10.595039682539682,7.182539682539682,14.154037698412699,1.6166666666666667,2.742857142857143,0.6332936507936507,4.9893253968253966,8.82281746031746,5.721701388888889,12.18405257936508
2,1,2,mrg&ovl,1,0,68.07240896358543,3.57,61.97121813371814,52.0,3.8733333333333335,158,10.461706349206349,7.110625,14.046264880952384,1.3833333333333333,2.60952380952381,0.543531746031746,4.8331746031746015,8.689484126984127,5.512500000000001,12.177733134920635
3,1,3,cnf&mrg&ovl,1,0,69.00574229691877,3.62,61.97121813371814,52.0,3.8733333333333335,158,10.461706349206349,7.110625,14.046264880952384,1.3833333333333333,2.60952380952381,0.543531746031746,4.8331746031746015,8.689484126984127,5.512500000000001,12.177733134920635
