signal,threshold,tune_r1_stops,tune_prec_em,tune_prec_f1,eval_f1,eval_em,eval_calls,eval_r1_stops,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,verdict
calibrated_logit_margin,0.3846,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.45,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.5,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.55,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.6,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.6471,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.7,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.7333,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.8,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
calibrated_conf,-0.01,100,4.0,4.555555555555555,8.875498575498575,8.0,1.0,300,-29.42407407407407,-34.4911574074074,-24.29601851851852,-1.57,LOSS
calibrated_conf,0.44,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
top_score_z_intra,2.0,67,4.477611940298507,5.306799336650083,15.255128205128205,14.666666666666666,1.51,205,-23.04444444444444,-28.001111111111115,-18.33277777777778,-1.06,LOSS
top_score_z_intra,2.5,33,3.0303030303030303,3.0303030303030303,28.699572649572648,27.333333333333332,2.0866666666666664,96,-9.6,-12.978333333333335,-6.333333333333334,-0.48333333333333334,LOSS
top_score_z_intra,2.8,14,0.0,0.0,36.521794871794874,34.66666666666667,2.45,27,-1.7777777777777777,-3.4444444444444438,-0.4444444444444444,-0.12,LOSS
top_score_z_intra,3.0,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
gap,2.0,41,2.4390243902439024,3.7940379403794036,24.81068376068376,23.666666666666668,1.9066666666666667,128,-13.488888888888889,-17.556666666666665,-9.777777777777777,-0.6633333333333333,LOSS
gap,4.0,19,0.0,1.7543859649122806,33.52179487179487,31.666666666666664,2.3366666666666664,46,-4.777777777777778,-7.336111111111111,-2.663888888888892,-0.23333333333333334,LOSS
gap,6.0,6,0.0,0.0,36.07735042735043,34.0,2.466666666666667,17,-2.222222222222222,-4.111111111111111,-0.6666666666666667,-0.10333333333333333,LOSS
gap,10.0,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
top_bm25_score,10.0,13,0.0,2.564102564102564,33.52179487179487,31.666666666666664,2.3066666666666666,47,-4.777777777777778,-7.333333333333333,-2.5555555555555554,-0.2633333333333333,LOSS
top_bm25_score,15.0,0,,,37.96623931623932,35.66666666666667,2.55,2,-0.33333333333333337,-1.0,0.0,-0.02,tie
top_bm25_score,18.0,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
top_bm25_score,25.0,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
gap_1_2,2.0,41,2.4390243902439024,3.7940379403794036,24.81068376068376,23.666666666666668,1.9066666666666667,128,-13.488888888888889,-17.556666666666665,-9.777777777777777,-0.6633333333333333,LOSS
gap_1_2,4.0,19,0.0,1.7543859649122806,33.52179487179487,31.666666666666664,2.3366666666666664,46,-4.777777777777778,-7.336111111111111,-2.663888888888892,-0.23333333333333334,LOSS
gap_1_2,6.0,6,0.0,0.0,36.07735042735043,34.0,2.466666666666667,17,-2.222222222222222,-4.111111111111111,-0.6666666666666667,-0.10333333333333333,LOSS
gap_1_2,10.0,0,,,38.29957264957265,36.0,2.57,0,0.0,0.0,0.0,0.0,tie
