size,n_groups,max_group_size,formula,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
4,1,4,as&mrg&ovl&tzi,1,1,53.75,4.67,53.528937728937734,49.333333333333336,4.5633333333333335,88,15.22936507936508,11.299246031746032,19.49007936507936,1.9933333333333334,5.553703703703704,2.7380092592592593,8.371666666666664,10.549999999999999,6.998611111111113,14.46347222222222
5,1,5,as&cnf&mrg&ovl&tzi,1,1,53.75,4.7,53.528937728937734,49.333333333333336,4.6066666666666665,88,15.22936507936508,11.299246031746032,19.49007936507936,2.0366666666666666,5.553703703703704,2.7380092592592593,8.371666666666664,10.549999999999999,6.998611111111113,14.46347222222222
5,1,5,as&gap&mrg&ovl&tzi,1,1,53.75,4.76,53.528937728937734,49.333333333333336,4.653333333333333,73,15.22936507936508,11.299246031746032,19.49007936507936,2.0833333333333335,5.553703703703704,2.7380092592592593,8.371666666666664,10.549999999999999,6.998611111111113,14.46347222222222
6,1,6,as&cnf&gap&mrg&ovl&tzi,1,1,53.75,4.79,53.528937728937734,49.333333333333336,4.683333333333334,73,15.22936507936508,11.299246031746032,19.49007936507936,2.1133333333333333,5.553703703703704,2.7380092592592593,8.371666666666664,10.549999999999999,6.998611111111113,14.46347222222222
4,1,4,as&gap&mrg&ovl,1,1,53.75,4.72,53.41782661782663,49.333333333333336,4.62,82,15.118253968253967,11.157539682539682,19.35255952380952,2.05,5.442592592592592,2.636805555555555,8.322453703703705,10.43888888888889,6.9416666666666655,14.396111111111113
5,1,5,as&cnf&gap&mrg&ovl,1,1,53.75,4.75,53.41782661782663,49.333333333333336,4.65,82,15.118253968253967,11.157539682539682,19.35255952380952,2.08,5.442592592592592,2.636805555555555,8.322453703703705,10.43888888888889,6.9416666666666655,14.396111111111113
4,1,4,cnf&mrg&ovl&tzi,1,0,53.75,4.51,53.1956043956044,49.0,4.5,108,14.896031746031746,10.730674603174602,19.33501984126984,1.93,5.220370370370371,2.370324074074074,8.089398148148147,10.216666666666665,6.722222222222221,13.906527777777777
5,1,5,cnf&gap&mrg&ovl&tzi,1,0,53.75,4.65,53.1956043956044,49.0,4.586666666666667,91,14.896031746031746,10.730674603174602,19.33501984126984,2.0166666666666666,5.220370370370371,2.370324074074074,8.089398148148147,10.216666666666665,6.722222222222221,13.906527777777777
4,1,4,cnf&gap&mrg&ovl,1,0,54.75,4.57,53.084493284493284,49.0,4.55,100,14.784920634920635,10.590873015873015,19.283730158730155,1.98,5.109259259259259,2.2862962962962965,7.9272222222222215,10.105555555555554,6.665277777777778,13.752083333333331
3,1,3,mrg&ovl&tzi,1,0,54.75,4.25,52.86227106227107,48.66666666666667,4.253333333333333,121,14.562698412698413,10.259642857142858,18.790615079365082,1.6833333333333333,4.887037037037037,2.0738425925925923,7.800509259259258,9.883333333333333,6.2775,13.586944444444441
