signal,threshold,tune_r1_stops,tune_prec_em,tune_prec_f1,eval_f1,eval_em,eval_calls,eval_r1_stops,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,verdict
calibrated_logit_margin,0.3846,33,39.39393939393939,43.56902356902357,47.263336663336666,43.0,2.183333333333333,93,-4.644444444444445,-7.119722222222221,-2.3253703703703708,-0.42,LOSS
calibrated_logit_margin,0.45,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.5,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.55,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.6,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.6471,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.7,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.7333,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_logit_margin,0.8,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
calibrated_conf,-0.01,100,31.0,32.37777777777778,37.64558774558775,34.333333333333336,1.0,300,-14.262193362193361,-18.903003246753244,-9.286007696007696,-1.6033333333333333,LOSS
calibrated_conf,0.44,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
top_score_z_intra,2.0,67,29.850746268656714,31.57545605306799,41.285270285270286,38.333333333333336,1.5333333333333334,205,-10.622510822510822,-14.93367364117364,-6.346859066859069,-1.07,LOSS
top_score_z_intra,2.5,33,24.242424242424242,24.242424242424242,46.8892625892626,43.333333333333336,2.0633333333333335,96,-5.018518518518518,-7.948333333333332,-2.2730555555555565,-0.54,LOSS
top_score_z_intra,2.8,14,7.142857142857142,7.142857142857142,50.730003330003335,46.666666666666664,2.4766666666666666,27,-1.1777777777777776,-2.6666666666666665,0.13333333333333347,-0.12666666666666668,tie
top_score_z_intra,3.0,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
gap,2.0,41,29.268292682926827,30.62330623306233,44.2014319014319,40.666666666666664,1.9233333333333333,128,-7.706349206349207,-11.081547619047617,-4.366137566137566,-0.68,LOSS
gap,4.0,19,15.789473684210526,17.54385964912281,48.81148481148481,45.0,2.3866666666666667,46,-3.096296296296296,-5.112962962962963,-1.2296296296296296,-0.21666666666666667,LOSS
gap,6.0,6,0.0,0.0,50.16704036704037,46.0,2.52,17,-1.7407407407407407,-3.2222222222222223,-0.5185185185185185,-0.08333333333333333,LOSS
gap,10.0,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
top_bm25_score,10.0,13,38.46153846153847,41.02564102564102,48.544818144818144,44.666666666666664,2.3666666666666667,47,-3.3629629629629627,-5.578888888888889,-1.2664814814814815,-0.23666666666666666,LOSS
top_bm25_score,15.0,0,,,51.90778110778111,47.66666666666667,2.5966666666666667,2,0.0,0.0,0.0,-0.006666666666666667,tie
top_bm25_score,18.0,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
top_bm25_score,25.0,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
gap_1_2,2.0,41,29.268292682926827,30.62330623306233,44.2014319014319,40.666666666666664,1.9233333333333333,128,-7.706349206349207,-11.081547619047617,-4.366137566137566,-0.68,LOSS
gap_1_2,4.0,19,15.789473684210526,17.54385964912281,48.81148481148481,45.0,2.3866666666666667,46,-3.096296296296296,-5.112962962962963,-1.2296296296296296,-0.21666666666666667,LOSS
gap_1_2,6.0,6,0.0,0.0,50.16704036704037,46.0,2.52,17,-1.7407407407407407,-3.2222222222222223,-0.5185185185185185,-0.08333333333333333,LOSS
gap_1_2,10.0,0,,,51.90778110778111,47.66666666666667,2.6033333333333335,0,0.0,0.0,0.0,0.0,tie
