size,n_groups,max_group_size,formula,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
4,1,4,as&mrg&ovl&tzi,1,1,59.6111111111111,4.52,58.55799755799757,53.666666666666664,4.416666666666667,89,6.650216450216451,3.2520328282828284,10.273742784992784,1.8133333333333332,1.0025974025974025,-1.4763239538239536,3.7628300865800863,5.740115440115441,2.259249639249639,9.46320165945166
5,1,5,as&cnf&mrg&ovl&tzi,1,1,59.6111111111111,4.52,58.55799755799757,53.666666666666664,4.42,88,6.650216450216451,3.2520328282828284,10.273742784992784,1.8166666666666667,1.0025974025974025,-1.4763239538239536,3.7628300865800863,5.740115440115441,2.259249639249639,9.46320165945166
5,1,5,as&gap&mrg&ovl&tzi,1,1,59.6111111111111,4.59,58.55799755799757,53.666666666666664,4.516666666666667,76,6.650216450216451,3.2520328282828284,10.273742784992784,1.9133333333333333,1.0025974025974025,-1.4763239538239536,3.7628300865800863,5.740115440115441,2.259249639249639,9.46320165945166
6,1,6,as&cnf&gap&mrg&ovl&tzi,1,1,59.6111111111111,4.59,58.55799755799757,53.666666666666664,4.52,75,6.650216450216451,3.2520328282828284,10.273742784992784,1.9166666666666667,1.0025974025974025,-1.4763239538239536,3.7628300865800863,5.740115440115441,2.259249639249639,9.46320165945166
3,1,3,mrg&ovl&tzi,1,0,59.6111111111111,4.36,58.513553113553115,53.666666666666664,4.18,116,6.605772005772005,2.9120797258297264,10.237366522366523,1.5766666666666667,0.9581529581529583,-1.6116414141414144,3.6280321067821064,5.695670995670997,2.0845598845598845,9.458759018759016
4,1,4,gap&mrg&ovl&tzi,1,0,59.6111111111111,4.51,58.513553113553115,53.666666666666664,4.303333333333334,102,6.605772005772005,2.9120797258297264,10.237366522366523,1.7,0.9581529581529583,-1.6116414141414144,3.6280321067821064,5.695670995670997,2.0845598845598845,9.458759018759016
4,1,4,cnf&mrg&ovl&tzi,1,0,59.6111111111111,4.36,58.446886446886445,53.666666666666664,4.2,114,6.53910533910534,2.9437499999999996,10.22364898989899,1.5966666666666667,0.8914862914862915,-1.5014971139971138,3.533412698412698,5.62900432900433,2.039828643578644,9.31835137085137
5,1,5,cnf&gap&mrg&ovl&tzi,1,0,59.6111111111111,4.51,58.446886446886445,53.666666666666664,4.323333333333333,100,6.53910533910534,2.9437499999999996,10.22364898989899,1.72,0.8914862914862915,-1.5014971139971138,3.533412698412698,5.62900432900433,2.039828643578644,9.31835137085137
4,1,4,as&gap&mrg&ovl,1,1,59.6111111111111,4.48,58.446886446886445,53.666666666666664,4.486666666666666,82,6.539105339105339,3.1561994949494943,10.11775072150072,1.8833333333333333,0.8914862914862913,-1.5948214285714288,3.6414484126984124,5.62900432900433,2.12872113997114,9.34483585858586
5,1,5,as&cnf&gap&mrg&ovl,1,1,59.6111111111111,4.48,58.446886446886445,53.666666666666664,4.49,81,6.539105339105339,3.1561994949494943,10.11775072150072,1.8866666666666667,0.8914862914862913,-1.5948214285714288,3.6414484126984124,5.62900432900433,2.12872113997114,9.34483585858586
