signal,threshold,tune_r1_stops,tune_prec_em,tune_prec_f1,eval_f1,eval_em,eval_calls,eval_r1_stops,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,verdict
calibrated_logit_margin,0.3846,51,60.78431372549019,71.9047619047619,63.80891793391794,52.666666666666664,1.87,161,-4.22965367965368,-6.420634920634921,-2.3449675324675328,-0.6666666666666666,LOSS
calibrated_logit_margin,0.45,38,68.42105263157895,80.18796992481202,64.9755846005846,53.666666666666664,1.9966666666666666,135,-3.0629870129870134,-4.9453841991342,-1.4828120490620493,-0.54,LOSS
calibrated_logit_margin,0.5,34,70.58823529411765,82.05882352941177,65.08669571169571,54.0,2.04,124,-2.951875901875902,-4.857261904761905,-1.334316378066378,-0.49666666666666665,LOSS
calibrated_logit_margin,0.55,34,70.58823529411765,82.05882352941177,65.08669571169571,54.0,2.05,121,-2.951875901875902,-4.857261904761905,-1.334316378066378,-0.4866666666666667,LOSS
calibrated_logit_margin,0.6,34,70.58823529411765,82.05882352941177,65.08669571169571,54.0,2.0566666666666666,119,-2.951875901875902,-4.857261904761905,-1.334316378066378,-0.48,LOSS
calibrated_logit_margin,0.6471,17,76.47058823529412,91.76470588235294,67.70523828023826,56.00000000000001,2.34,54,-0.33333333333333337,-0.8333333333333334,0.0,-0.19666666666666666,tie
calibrated_logit_margin,0.7,17,76.47058823529412,91.76470588235294,67.87190494690493,56.333333333333336,2.3666666666666667,50,-0.16666666666666669,-0.5,0.0,-0.17,tie
calibrated_logit_margin,0.7333,17,76.47058823529412,91.76470588235294,67.87190494690493,56.333333333333336,2.38,46,-0.16666666666666669,-0.5,0.0,-0.15666666666666668,tie
calibrated_logit_margin,0.8,2,100.0,100.0,68.0385716135716,56.666666666666664,2.52,5,0.0,0.0,0.0,-0.016666666666666666,tie
calibrated_conf,-0.01,100,42.0,53.850700280112044,49.189959114959116,40.666666666666664,1.0,300,-18.8486124986125,-22.99753787878788,-14.787012987012988,-1.5366666666666666,LOSS
calibrated_conf,0.44,95,44.21052631578947,56.421789768538986,49.812181337181336,41.0,1.0533333333333332,294,-18.226390276390276,-22.356882839382838,-14.05749195249195,-1.4833333333333334,LOSS
top_score_z_intra,2.0,65,44.61538461538462,56.71170006464125,55.55790783290783,46.0,1.4533333333333334,210,-12.480663780663779,-15.887492784992782,-8.905735930735933,-1.0833333333333333,LOSS
top_score_z_intra,2.5,32,31.25,45.820640756302524,62.25502183002182,51.0,1.96,119,-5.783549783549784,-8.380728715728717,-3.1536904761904765,-0.5766666666666667,LOSS
top_score_z_intra,2.8,16,43.75,52.75735294117647,66.5274605024605,55.00000000000001,2.276666666666667,48,-1.511111111111111,-2.844444444444444,-0.33333333333333337,-0.26,LOSS
top_score_z_intra,3.0,0,,,68.0385716135716,56.666666666666664,2.5366666666666666,0,0.0,0.0,0.0,0.0,tie
gap,2.0,43,34.883720930232556,49.68047684189955,60.808990083990075,49.333333333333336,1.7933333333333332,149,-7.22958152958153,-10.211453823953825,-4.4192784992785,-0.7433333333333333,LOSS
gap,4.0,25,36.0,53.964705882352945,63.967143042143036,52.666666666666664,2.15,74,-4.071428571428572,-6.183214285714285,-2.0425793650793653,-0.38666666666666666,LOSS
gap,6.0,16,25.0,48.06985294117647,66.45603193103193,55.00000000000001,2.3066666666666666,41,-1.5825396825396827,-2.987619047619048,-0.4047619047619047,-0.23,LOSS
gap,10.0,6,16.666666666666664,16.666666666666664,67.59412716912718,56.333333333333336,2.47,12,-0.4444444444444444,-1.222222222222222,0.0,-0.06666666666666667,tie
top_bm25_score,10.0,37,45.94594594594595,60.9220985691574,59.320317645317644,48.333333333333336,1.8633333333333333,124,-8.718253968253967,-11.863412698412699,-5.840515873015874,-0.6733333333333333,LOSS
top_bm25_score,15.0,14,35.714285714285715,51.78571428571429,65.81634939134939,55.00000000000001,2.3566666666666665,31,-2.222222222222222,-3.8449999999999998,-0.8222222222222223,-0.18,LOSS
top_bm25_score,18.0,7,14.285714285714285,42.857142857142854,67.26079383579383,56.00000000000001,2.44,17,-0.7777777777777777,-1.7555555555555558,-0.06666666666666665,-0.09666666666666666,LOSS
top_bm25_score,25.0,1,0.0,80.0,67.70523828023826,56.333333333333336,2.506666666666667,6,-0.33333333333333337,-1.0,0.0,-0.03,tie
gap_1_2,2.0,43,34.883720930232556,49.68047684189955,60.808990083990075,49.333333333333336,1.7933333333333332,149,-7.22958152958153,-10.211453823953825,-4.4192784992785,-0.7433333333333333,LOSS
gap_1_2,4.0,25,36.0,53.964705882352945,63.967143042143036,52.666666666666664,2.15,74,-4.071428571428572,-6.183214285714285,-2.0425793650793653,-0.38666666666666666,LOSS
gap_1_2,6.0,16,25.0,48.06985294117647,66.45603193103193,55.00000000000001,2.3066666666666666,41,-1.5825396825396827,-2.987619047619048,-0.4047619047619047,-0.23,LOSS
gap_1_2,10.0,6,16.666666666666664,16.666666666666664,67.59412716912718,56.333333333333336,2.47,12,-0.4444444444444444,-1.222222222222222,0.0,-0.06666666666666667,tie
