size,subset,tune_f1,tune_calls,eval_f1,eval_calls,eval_em,diff_f1_vs_k3,diff_calls_vs_k3,f1_per_call,f1_minus_05calls
1,calibrated_conf,66.66385281385283,2.67,64.21217763717763,2.9466666666666668,53.333333333333336,5.843650793650795,-0.05333333333333323,21.79146299904218,62.738844303844296
2,answer_in_evidence+calibrated_conf,66.39718614718615,2.18,60.31455858955859,2.3666666666666667,48.66666666666667,1.9460317460317498,-0.6333333333333333,25.485024756151514,59.13122525622526
1,answer_in_evidence,65.39718614718615,2.38,60.14313001813002,2.6766666666666667,48.66666666666667,1.774603174603186,-0.32333333333333325,22.46941345633749,58.80479668479669
1,overlap_signal,62.26385281385281,2.96,58.68043160543161,3.1066666666666665,48.66666666666667,0.31190476190477057,0.10666666666666647,18.888550945954382,57.12709827209827
2,calibrated_conf+overlap_signal,61.66385281385281,2.3,58.36773319273318,2.4033333333333333,48.66666666666667,-0.0007936507936534554,-0.5966666666666667,24.286158055228785,57.166066526066516
1,answer_stable,59.66385281385281,2.62,58.106622081622085,2.513333333333333,47.66666666666667,-0.2619047619047521,-0.4866666666666668,23.119345655817806,56.84995541495542
1,answer_stable_f1,59.66385281385281,2.51,57.662177637177635,2.43,47.0,-0.7063492063492021,-0.5699999999999998,23.729291208715075,56.44717763717763
2,answer_stable+answer_stable_f1,59.66385281385281,2.51,57.662177637177635,2.43,47.0,-0.7063492063492021,-0.5699999999999998,23.729291208715075,56.44717763717763
2,answer_stable+calibrated_conf,58.66385281385281,2.19,57.384399859399856,2.2066666666666666,47.333333333333336,-0.9841269841269806,-0.7933333333333334,26.005015042024105,56.281066526066525
2,answer_stable_f1+calibrated_conf,58.66385281385281,2.13,57.05106652606653,2.18,47.0,-1.3174603174603092,-0.8199999999999998,26.17021400278281,55.961066526066524
3,answer_stable+answer_stable_f1+calibrated_conf,58.66385281385281,2.13,57.05106652606653,2.18,47.0,-1.3174603174603092,-0.8199999999999998,26.17021400278281,55.961066526066524
3,answer_in_evidence+calibrated_conf+overlap_signal,63.39718614718615,1.85,56.736780811780804,1.93,46.0,-1.631746031746033,-1.07,29.39729575739938,55.7717808117808
2,answer_in_evidence+overlap_signal,63.39718614718615,1.92,56.56535224035224,2.026666666666667,46.0,-1.8031746031745968,-0.9733333333333332,27.91053564491064,55.552018907018905
2,answer_stable+overlap_signal,57.66385281385281,2.31,56.173288748288755,2.24,46.0,-2.195238095238082,-0.7599999999999998,25.077361048343192,55.05328874828876
2,answer_stable_f1+overlap_signal,57.66385281385281,2.25,56.06217763717765,2.216666666666667,45.666666666666664,-2.3063492063491893,-0.7833333333333332,25.291207956621495,54.95384430384431
3,answer_stable+answer_stable_f1+overlap_signal,57.66385281385281,2.25,56.06217763717765,2.216666666666667,45.666666666666664,-2.3063492063491893,-0.7833333333333332,25.291207956621495,54.95384430384431
1,answer_stable_seq,59.66385281385281,2.37,55.93995541495542,2.3133333333333335,45.666666666666664,-2.4285714285714164,-0.6866666666666665,24.18153692289139,54.783288748288754
2,answer_stable+answer_stable_seq,59.66385281385281,2.37,55.93995541495542,2.3133333333333335,45.666666666666664,-2.4285714285714164,-0.6866666666666665,24.18153692289139,54.783288748288754
2,answer_stable_f1+answer_stable_seq,59.66385281385281,2.37,55.93995541495542,2.3133333333333335,45.666666666666664,-2.4285714285714164,-0.6866666666666665,24.18153692289139,54.783288748288754
