size,subset,has_margin,has_answer_stable,tune_f1,tune_calls,eval_f1,eval_em,eval_calls,eval_triggered,diff_f1_vs_as,ci_as_lo,ci_as_hi,diff_calls_vs_as,diff_f1_vs_famA,ci_famA_lo,ci_famA_hi,diff_f1_vs_k3,ci_k3_lo,ci_k3_hi
1,answer_stable,0,1,72.45979118920295,2.42,68.0385716135716,56.666666666666664,2.5366666666666666,297,0.0,0.0,0.0,0.0,1.22985347985348,-0.8906822344322345,3.3238415750915755,2.8507936507936504,1.1234523809523809,4.855555555555554
1,overlap_signal,0,0,72.45979118920295,2.96,66.36427368927367,56.333333333333336,3.1066666666666665,229,-1.6742979242979243,-3.9398611111111106,0.6360866910866911,0.57,-0.4444444444444444,-1.7558333333333336,0.7666666666666666,1.1764957264957265,-1.0213934676434677,3.587130647130648
2,answer_stable+overlap_signal,0,1,70.45979118920295,2.19,65.44968272468272,55.00000000000001,2.22,300,-2.588888888888889,-4.4558333333333335,-1.1219444444444444,-0.31666666666666665,-1.3590354090354089,-3.3728769841269846,0.42574633699633685,0.26190476190476203,-1.6890079365079365,2.20015873015873
1,calibrated_logit_margin,1,0,71.9716959511077,2.45,64.44573112073112,53.333333333333336,2.3266666666666667,275,-3.5928404928404936,-6.218601676101676,-1.0326741314241337,-0.21,-2.362987012987013,-4.8665331890331895,0.25702380952380877,-0.7420468420468419,-3.652768342768343,2.0471955821955814
3,answer_stable+calibrated_conf+overlap_signal,0,1,67.51861471861471,2.0,64.1385716135716,53.666666666666664,2.013333333333333,300,-3.9,-6.267222222222221,-1.8555555555555554,-0.5233333333333333,-2.6701465201465204,-5.388844627594627,-0.39743589743589824,-1.049206349206349,-3.533412698412699,1.268373015873016
2,answer_stable+calibrated_conf,0,1,67.51861471861471,2.0,64.1385716135716,53.666666666666664,2.0166666666666666,300,-3.9,-6.267222222222221,-1.8555555555555554,-0.52,-2.6701465201465204,-5.388844627594627,-0.39743589743589824,-1.049206349206349,-3.533412698412699,1.268373015873016
2,calibrated_conf+overlap_signal,0,0,67.51861471861471,2.01,63.80523828023827,53.333333333333336,2.0366666666666666,300,-4.233333333333333,-6.667222222222222,-1.9997222222222222,-0.5,-3.0034798534798535,-5.681686507936508,-0.6034126984126985,-1.3825396825396825,-3.7655158730158726,0.8955158730158728
1,calibrated_conf,0,0,67.51861471861471,2.02,63.80523828023827,53.333333333333336,2.05,300,-4.233333333333333,-6.667222222222222,-1.9997222222222222,-0.4866666666666667,-3.0034798534798535,-5.681686507936508,-0.6034126984126985,-1.3825396825396825,-3.7655158730158726,0.8955158730158728
2,calibrated_logit_margin+answer_stable,1,1,72.45979118920295,1.8,63.753362378362375,52.666666666666664,1.7966666666666666,299,-4.285209235209235,-6.757602813852815,-2.2319751082251083,-0.74,-3.0553557553557553,-5.869136835386836,-0.0669462481962487,-1.4344155844155846,-4.129570707070707,1.2047601010101006
2,calibrated_logit_margin+overlap_signal,1,0,71.45979118920295,1.85,62.07906445406445,51.66666666666667,1.9233333333333333,291,-5.95950715950716,-8.89187187812188,-3.080016788766789,-0.6133333333333333,-4.72965367965368,-7.100066738816739,-2.3519715007215005,-3.108713508713509,-5.93541847041847,-0.3470315795315796
