t_conf,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.3,0.05,44.0,53.81385281385281,1.53,100,100
0.3,0.075,45.0,54.81385281385281,1.58,100,100
0.3,0.1,46.0,55.81385281385282,1.67,100,99
0.3,0.125,50.0,59.813852813852805,1.83,100,96
0.3,0.15,51.0,60.81385281385282,1.93,100,93
0.3,0.175,52.0,61.81385281385281,1.98,100,92
0.3,0.2,52.0,61.81385281385281,1.99,100,92
0.3,0.225,52.0,61.81385281385281,2.01,100,92
0.3,0.25,52.0,61.81385281385282,2.05,100,90
0.3,0.275,52.0,61.81385281385281,2.08,100,89
0.3,0.3,52.0,61.81385281385282,2.08,100,88
0.3,0.325,52.0,61.81385281385282,2.08,100,88
0.3,0.35,52.0,61.81385281385282,2.08,100,88
0.3,0.375,52.0,61.81385281385282,2.08,100,88
0.3,0.4,52.0,61.81385281385282,2.09,100,88
0.32,0.05,44.0,53.81385281385281,1.53,100,100
0.32,0.075,45.0,54.81385281385281,1.58,100,100
0.32,0.1,46.0,55.81385281385282,1.67,100,99
0.32,0.125,50.0,59.813852813852805,1.83,100,96
0.32,0.15,51.0,60.81385281385282,1.93,100,93
0.32,0.175,52.0,61.81385281385281,1.98,100,92
0.32,0.2,52.0,61.81385281385281,1.99,100,92
0.32,0.225,52.0,61.81385281385281,2.01,100,92
0.32,0.25,52.0,61.81385281385282,2.05,100,90
0.32,0.275,52.0,61.81385281385281,2.08,100,89
0.32,0.3,52.0,61.81385281385282,2.08,100,88
0.32,0.325,52.0,61.81385281385282,2.08,100,88
0.32,0.35,52.0,61.81385281385282,2.08,100,88
0.32,0.375,52.0,61.81385281385282,2.08,100,88
0.32,0.4,52.0,61.81385281385282,2.09,100,88
0.34,0.05,44.0,53.81385281385281,1.53,100,100
0.34,0.075,45.0,54.81385281385281,1.58,100,100
0.34,0.1,46.0,55.81385281385282,1.67,100,99
0.34,0.125,50.0,59.813852813852805,1.83,100,96
0.34,0.15,51.0,60.81385281385282,1.93,100,93
0.34,0.175,52.0,61.81385281385281,1.98,100,92
0.34,0.2,52.0,61.81385281385281,1.99,100,92
0.34,0.225,52.0,61.81385281385281,2.01,100,92
0.34,0.25,52.0,61.81385281385282,2.05,100,90
0.34,0.275,52.0,61.81385281385281,2.08,100,89
0.34,0.3,52.0,61.81385281385282,2.08,100,88
0.34,0.325,52.0,61.81385281385282,2.08,100,88
0.34,0.35,52.0,61.81385281385282,2.08,100,88
0.34,0.375,52.0,61.81385281385282,2.08,100,88
0.34,0.4,52.0,61.81385281385282,2.09,100,88
0.36,0.05,44.0,53.81385281385281,1.53,100,100
0.36,0.075,45.0,54.81385281385281,1.58,100,100
0.36,0.1,46.0,55.81385281385282,1.67,100,99
0.36,0.125,50.0,59.813852813852805,1.83,100,96
0.36,0.15,51.0,60.81385281385282,1.93,100,93
0.36,0.175,52.0,61.81385281385281,1.98,100,92
0.36,0.2,52.0,61.81385281385281,1.99,100,92
0.36,0.225,52.0,61.81385281385281,2.01,100,92
0.36,0.25,52.0,61.81385281385282,2.05,100,90
0.36,0.275,52.0,61.81385281385281,2.08,100,89
0.36,0.3,52.0,61.81385281385282,2.08,100,88
0.36,0.325,52.0,61.81385281385282,2.08,100,88
0.36,0.35,52.0,61.81385281385282,2.08,100,88
0.36,0.375,52.0,61.81385281385282,2.08,100,88
0.36,0.4,52.0,61.81385281385282,2.09,100,88
0.38,0.05,44.0,53.81385281385281,1.53,100,100
0.38,0.075,45.0,54.81385281385281,1.58,100,100
0.38,0.1,46.0,55.81385281385282,1.67,100,99
0.38,0.125,50.0,59.813852813852805,1.83,100,96
0.38,0.15,51.0,60.81385281385282,1.93,100,93
0.38,0.175,52.0,61.81385281385281,1.98,100,92
0.38,0.2,52.0,61.81385281385281,1.99,100,92
0.38,0.225,52.0,61.81385281385281,2.01,100,92
0.38,0.25,52.0,61.81385281385282,2.05,100,90
0.38,0.275,52.0,61.81385281385281,2.08,100,89
0.38,0.3,52.0,61.81385281385282,2.08,100,88
0.38,0.325,52.0,61.81385281385282,2.08,100,88
0.38,0.35,52.0,61.81385281385282,2.08,100,88
0.38,0.375,52.0,61.81385281385282,2.08,100,88
0.38,0.4,52.0,61.81385281385282,2.09,100,88
0.4,0.05,44.0,53.81385281385281,1.53,100,100
0.4,0.075,45.0,54.81385281385281,1.58,100,100
0.4,0.1,46.0,55.81385281385282,1.67,100,99
0.4,0.125,50.0,59.813852813852805,1.83,100,96
0.4,0.15,51.0,60.81385281385282,1.93,100,93
0.4,0.175,52.0,61.81385281385281,1.98,100,92
0.4,0.2,52.0,61.81385281385281,1.99,100,92
0.4,0.225,52.0,61.81385281385281,2.01,100,92
0.4,0.25,52.0,61.81385281385282,2.05,100,90
