t_margin,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.2,0.05,50.0,60.70070028011204,1.26,100,100
0.2,0.075,51.0,61.700700280112045,1.27,100,100
0.2,0.1,52.0,62.700700280112045,1.28,100,100
0.2,0.125,52.0,62.700700280112045,1.3,100,100
0.2,0.15,52.0,62.700700280112045,1.3,100,100
0.2,0.175,52.0,62.700700280112045,1.3,100,100
0.2,0.2,52.0,62.700700280112045,1.32,100,100
0.2,0.225,52.0,62.700700280112045,1.32,100,100
0.2,0.25,52.0,62.87927170868347,1.36,100,100
0.2,0.275,52.0,62.87927170868347,1.36,100,100
0.2,0.3,52.0,62.87927170868347,1.36,100,100
0.2,0.325,52.0,62.87927170868347,1.36,100,100
0.2,0.35,52.0,62.87927170868347,1.36,100,100
0.2,0.375,52.0,62.87927170868347,1.36,100,100
0.2,0.4,52.0,62.87927170868347,1.36,100,100
0.225,0.05,50.0,60.70070028011204,1.26,100,100
0.225,0.075,51.0,61.700700280112045,1.27,100,100
0.225,0.1,52.0,62.700700280112045,1.28,100,100
0.225,0.125,52.0,62.700700280112045,1.3,100,100
0.225,0.15,52.0,62.700700280112045,1.3,100,100
0.225,0.175,52.0,62.700700280112045,1.3,100,100
0.225,0.2,52.0,62.700700280112045,1.32,100,100
0.225,0.225,52.0,62.700700280112045,1.32,100,100
0.225,0.25,52.0,62.87927170868347,1.36,100,100
0.225,0.275,52.0,62.87927170868347,1.36,100,100
0.225,0.3,52.0,62.87927170868347,1.36,100,100
0.225,0.325,52.0,62.87927170868347,1.36,100,100
0.225,0.35,52.0,62.87927170868347,1.36,100,100
0.225,0.375,52.0,62.87927170868347,1.36,100,100
0.225,0.4,52.0,62.87927170868347,1.36,100,100
0.25,0.05,50.0,60.70070028011204,1.26,100,100
0.25,0.075,51.0,61.700700280112045,1.27,100,100
0.25,0.1,52.0,62.700700280112045,1.28,100,100
0.25,0.125,52.0,62.700700280112045,1.31,100,100
0.25,0.15,52.0,62.700700280112045,1.31,100,100
0.25,0.175,52.0,62.700700280112045,1.31,100,100
0.25,0.2,52.0,62.700700280112045,1.33,100,100
0.25,0.225,52.0,62.700700280112045,1.33,100,100
0.25,0.25,52.0,62.87927170868347,1.4,100,100
0.25,0.275,52.0,62.87927170868347,1.4,100,100
0.25,0.3,52.0,62.87927170868347,1.4,100,100
0.25,0.325,52.0,62.87927170868347,1.4,100,100
0.25,0.35,52.0,62.87927170868347,1.4,100,100
0.25,0.375,52.0,62.87927170868347,1.4,100,100
0.25,0.4,52.0,62.87927170868347,1.4,100,100
0.275,0.05,50.0,60.70070028011204,1.26,100,100
0.275,0.075,51.0,61.700700280112045,1.27,100,100
0.275,0.1,52.0,62.700700280112045,1.28,100,100
0.275,0.125,52.0,62.700700280112045,1.31,100,100
0.275,0.15,52.0,62.700700280112045,1.31,100,100
0.275,0.175,52.0,62.700700280112045,1.31,100,100
0.275,0.2,52.0,62.700700280112045,1.33,100,100
0.275,0.225,52.0,62.700700280112045,1.33,100,100
0.275,0.25,52.0,62.87927170868347,1.4,100,100
0.275,0.275,52.0,62.87927170868347,1.4,100,100
0.275,0.3,52.0,62.87927170868347,1.4,100,100
0.275,0.325,52.0,62.87927170868347,1.4,100,100
0.275,0.35,52.0,62.87927170868347,1.4,100,100
0.275,0.375,52.0,62.87927170868347,1.4,100,100
0.275,0.4,52.0,62.87927170868347,1.4,100,100
0.3,0.05,50.0,60.70070028011204,1.26,100,100
0.3,0.075,51.0,61.700700280112045,1.27,100,100
0.3,0.1,52.0,62.700700280112045,1.28,100,100
0.3,0.125,52.0,62.700700280112045,1.31,100,100
0.3,0.15,52.0,62.700700280112045,1.31,100,100
0.3,0.175,52.0,62.700700280112045,1.31,100,100
