t_conf,t_overlap,em,f1,avg_calls,n_questions,n_stopped_early
0.3,0.05,46.0,57.684033613445386,1.03,100,100
0.3,0.075,46.0,57.684033613445386,1.04,100,100
0.3,0.1,46.0,57.684033613445386,1.04,100,100
0.3,0.125,46.0,57.684033613445386,1.04,100,100
0.3,0.15,46.0,57.684033613445386,1.04,100,100
0.3,0.175,46.0,57.684033613445386,1.04,100,100
0.3,0.2,46.0,57.684033613445386,1.04,100,100
0.3,0.225,46.0,57.684033613445386,1.04,100,100
0.3,0.25,46.0,57.684033613445386,1.04,100,100
0.3,0.275,46.0,57.684033613445386,1.04,100,100
0.3,0.3,46.0,57.684033613445386,1.04,100,100
0.3,0.325,46.0,57.684033613445386,1.04,100,100
0.3,0.35,46.0,57.684033613445386,1.04,100,100
0.3,0.375,46.0,57.684033613445386,1.04,100,100
0.3,0.4,46.0,57.684033613445386,1.04,100,100
0.32,0.05,46.0,57.684033613445386,1.03,100,100
0.32,0.075,46.0,57.684033613445386,1.04,100,100
0.32,0.1,46.0,57.684033613445386,1.04,100,100
0.32,0.125,46.0,57.684033613445386,1.04,100,100
0.32,0.15,46.0,57.684033613445386,1.04,100,100
0.32,0.175,46.0,57.684033613445386,1.04,100,100
0.32,0.2,46.0,57.684033613445386,1.04,100,100
0.32,0.225,46.0,57.684033613445386,1.04,100,100
0.32,0.25,46.0,57.684033613445386,1.04,100,100
0.32,0.275,46.0,57.684033613445386,1.04,100,100
0.32,0.3,46.0,57.684033613445386,1.04,100,100
0.32,0.325,46.0,57.684033613445386,1.04,100,100
0.32,0.35,46.0,57.684033613445386,1.04,100,100
0.32,0.375,46.0,57.684033613445386,1.04,100,100
0.32,0.4,46.0,57.684033613445386,1.04,100,100
0.34,0.05,46.0,57.684033613445386,1.03,100,100
0.34,0.075,46.0,57.684033613445386,1.04,100,100
0.34,0.1,46.0,57.684033613445386,1.04,100,100
0.34,0.125,46.0,57.684033613445386,1.04,100,100
0.34,0.15,46.0,57.684033613445386,1.04,100,100
0.34,0.175,46.0,57.684033613445386,1.04,100,100
0.34,0.2,46.0,57.684033613445386,1.04,100,100
0.34,0.225,46.0,57.684033613445386,1.04,100,100
0.34,0.25,46.0,57.684033613445386,1.04,100,100
0.34,0.275,46.0,57.684033613445386,1.04,100,100
0.34,0.3,46.0,57.684033613445386,1.04,100,100
0.34,0.325,46.0,57.684033613445386,1.04,100,100
0.34,0.35,46.0,57.684033613445386,1.04,100,100
0.34,0.375,46.0,57.684033613445386,1.04,100,100
0.34,0.4,46.0,57.684033613445386,1.04,100,100
0.36,0.05,46.0,57.684033613445386,1.03,100,100
0.36,0.075,46.0,57.684033613445386,1.04,100,100
0.36,0.1,46.0,57.684033613445386,1.04,100,100
0.36,0.125,46.0,57.684033613445386,1.04,100,100
0.36,0.15,46.0,57.684033613445386,1.04,100,100
0.36,0.175,46.0,57.684033613445386,1.04,100,100
0.36,0.2,46.0,57.684033613445386,1.04,100,100
0.36,0.225,46.0,57.684033613445386,1.04,100,100
0.36,0.25,46.0,57.684033613445386,1.04,100,100
0.36,0.275,46.0,57.684033613445386,1.04,100,100
0.36,0.3,46.0,57.684033613445386,1.04,100,100
0.36,0.325,46.0,57.684033613445386,1.04,100,100
0.36,0.35,46.0,57.684033613445386,1.04,100,100
0.36,0.375,46.0,57.684033613445386,1.04,100,100
0.36,0.4,46.0,57.684033613445386,1.04,100,100
0.38,0.05,46.0,57.684033613445386,1.03,100,100
0.38,0.075,46.0,57.684033613445386,1.04,100,100
0.38,0.1,46.0,57.684033613445386,1.04,100,100
0.38,0.125,46.0,57.684033613445386,1.04,100,100
0.38,0.15,46.0,57.684033613445386,1.04,100,100
0.38,0.175,46.0,57.684033613445386,1.04,100,100
0.38,0.2,46.0,57.684033613445386,1.04,100,100
0.38,0.225,46.0,57.684033613445386,1.04,100,100
0.38,0.25,46.0,57.684033613445386,1.04,100,100
0.38,0.275,46.0,57.684033613445386,1.04,100,100
0.38,0.3,46.0,57.684033613445386,1.04,100,100
0.38,0.325,46.0,57.684033613445386,1.04,100,100
0.38,0.35,46.0,57.684033613445386,1.04,100,100
0.38,0.375,46.0,57.684033613445386,1.04,100,100
0.38,0.4,46.0,57.684033613445386,1.04,100,100
0.4,0.05,46.0,57.684033613445386,1.03,100,100
0.4,0.075,46.0,57.684033613445386,1.04,100,100
0.4,0.1,46.0,57.684033613445386,1.04,100,100
0.4,0.125,46.0,57.684033613445386,1.04,100,100
0.4,0.15,46.0,57.684033613445386,1.04,100,100
0.4,0.175,46.0,57.684033613445386,1.04,100,100
0.4,0.2,46.0,57.684033613445386,1.04,100,100
0.4,0.225,46.0,57.684033613445386,1.04,100,100
0.4,0.25,46.0,57.684033613445386,1.04,100,100
0.4,0.275,46.0,57.684033613445386,1.04,100,100
0.4,0.3,46.0,57.684033613445386,1.04,100,100
0.4,0.325,46.0,57.684033613445386,1.04,100,100
0.4,0.35,46.0,57.684033613445386,1.04,100,100
0.4,0.375,46.0,57.684033613445386,1.04,100,100
0.4,0.4,46.0,57.684033613445386,1.04,100,100
0.42,0.05,46.0,57.684033613445386,1.03,100,100
0.42,0.075,46.0,57.684033613445386,1.04,100,100
0.42,0.1,46.0,57.684033613445386,1.04,100,100
0.42,0.125,46.0,57.684033613445386,1.04,100,100
0.42,0.15,46.0,57.684033613445386,1.04,100,100
0.42,0.175,46.0,57.684033613445386,1.04,100,100
0.42,0.2,46.0,57.684033613445386,1.04,100,100
0.42,0.225,46.0,57.684033613445386,1.04,100,100
0.42,0.25,46.0,57.684033613445386,1.04,100,100
0.42,0.275,46.0,57.684033613445386,1.04,100,100
0.42,0.3,46.0,57.684033613445386,1.04,100,100
0.42,0.325,46.0,57.684033613445386,1.04,100,100
0.42,0.35,46.0,57.684033613445386,1.04,100,100
0.42,0.375,46.0,57.684033613445386,1.04,100,100
0.42,0.4,46.0,57.684033613445386,1.04,100,100
0.44,0.05,46.0,57.684033613445386,1.03,100,100
0.44,0.075,46.0,57.684033613445386,1.04,100,100
0.44,0.1,46.0,57.684033613445386,1.04,100,100
0.44,0.125,46.0,57.684033613445386,1.04,100,100
0.44,0.15,46.0,57.684033613445386,1.04,100,100
0.44,0.175,46.0,57.684033613445386,1.04,100,100
0.44,0.2,46.0,57.684033613445386,1.04,100,100
0.44,0.225,46.0,57.684033613445386,1.04,100,100
0.44,0.25,46.0,57.684033613445386,1.04,100,100
0.44,0.275,46.0,57.684033613445386,1.04,100,100
0.44,0.3,46.0,57.684033613445386,1.04,100,100
0.44,0.325,46.0,57.684033613445386,1.04,100,100
0.44,0.35,46.0,57.684033613445386,1.04,100,100
0.44,0.375,46.0,57.684033613445386,1.04,100,100
0.44,0.4,46.0,57.684033613445386,1.04,100,100
0.46,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.46,0.075,56.00000000000001,67.51861471861471,2.01,100,100
0.46,0.1,56.00000000000001,67.51861471861471,2.01,100,100
0.46,0.125,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.15,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.175,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.2,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.225,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.25,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.275,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.3,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.325,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.35,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.375,56.00000000000001,67.51861471861471,2.02,100,100
0.46,0.4,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.48,0.075,56.00000000000001,67.51861471861471,2.01,100,100
0.48,0.1,56.00000000000001,67.51861471861471,2.01,100,100
0.48,0.125,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.15,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.175,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.2,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.225,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.25,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.275,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.3,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.325,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.35,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.375,56.00000000000001,67.51861471861471,2.02,100,100
0.48,0.4,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.5,0.075,56.00000000000001,67.51861471861471,2.01,100,100
0.5,0.1,56.00000000000001,67.51861471861471,2.01,100,100
0.5,0.125,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.15,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.175,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.2,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.225,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.25,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.275,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.3,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.325,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.35,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.375,56.00000000000001,67.51861471861471,2.02,100,100
0.5,0.4,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.52,0.075,56.00000000000001,67.51861471861471,2.01,100,100
0.52,0.1,56.00000000000001,67.51861471861471,2.01,100,100
0.52,0.125,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.15,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.175,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.2,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.225,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.25,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.275,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.3,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.325,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.35,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.375,56.00000000000001,67.51861471861471,2.02,100,100
0.52,0.4,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.54,0.075,56.00000000000001,67.51861471861471,2.01,100,100
0.54,0.1,56.00000000000001,67.51861471861471,2.01,100,100
0.54,0.125,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.15,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.175,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.2,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.225,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.25,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.275,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.3,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.325,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.35,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.375,56.00000000000001,67.51861471861471,2.02,100,100
0.54,0.4,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.05,56.00000000000001,67.51861471861471,2.0,100,100
0.56,0.075,56.00000000000001,67.51861471861471,2.01,100,100
0.56,0.1,56.00000000000001,67.51861471861471,2.01,100,100
0.56,0.125,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.15,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.175,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.2,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.225,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.25,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.275,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.3,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.325,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.35,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.375,56.00000000000001,67.51861471861471,2.02,100,100
0.56,0.4,56.00000000000001,67.51861471861471,2.02,100,100
0.58,0.05,56.00000000000001,67.51861471861471,2.02,100,100
0.58,0.075,56.99999999999999,68.51861471861471,2.1,100,100
0.58,0.1,59.0,71.45979118920295,2.31,100,100
0.58,0.125,61.0,73.85979118920295,2.55,100,100
0.58,0.15,60.0,73.52645785586962,2.69,100,100
0.58,0.175,60.0,73.52645785586962,2.79,100,100
0.58,0.2,59.0,72.52645785586962,2.88,100,100
0.58,0.225,59.0,72.52645785586962,2.93,100,100
0.58,0.25,59.0,72.52645785586962,2.95,100,100
0.58,0.275,59.0,72.52645785586962,2.96,100,100
0.58,0.3,59.0,72.52645785586962,2.96,100,100
0.58,0.325,59.0,72.52645785586962,2.96,100,100
0.58,0.35,59.0,72.52645785586962,2.96,100,100
0.58,0.375,59.0,72.52645785586962,2.97,100,100
0.58,0.4,59.0,72.52645785586962,2.99,100,100
0.6,0.05,56.00000000000001,67.51861471861471,2.02,100,100
0.6,0.075,56.99999999999999,68.51861471861471,2.11,100,100
0.6,0.1,59.0,71.45979118920295,2.39,100,100
0.6,0.125,61.0,73.45979118920295,2.88,100,100
0.6,0.15,62.0,74.45979118920295,3.18,100,100
